route_id,agency_id,route_short_name,route_long_name,route_type
"10-729-e20-1","01","729","Town Car Park - Cork Institute of Technology","3"
"10-72-e19-1","01","72","Limerick Bus Station - Athlone Bus Station","3"
"10-72-e20-1","01","72","Limerick Bus Station - Athlone Bus Station","3"
"10-730-e19-1","01","730","Limerick Bus Station - Birr Square","3"
"10-730-e20-1","01","730","Limerick Bus Station - Birr Square","3"
"10-73-e19-1","01","73","Waterford Bus Station - Outside Train Station","3"
"10-73-e20-1","01","73","Waterford Bus Station - Outside Train Station","3"
"10-740-0-e19-1","01","740-0","Wilton Terrace - Abbey Road","3"
"10-740-0-e20-1","01","740-0","Wilton Terrace - Abbey Road","3"
"10-741-e19-1","01","741","Liddy St (Old Dunnes Stores) - William Street","3"
"10-741-e20-1","01","741","Liddy St (Old Dunnes Stores) - William Street","3"
"10-742-e19-1","01","742","Mahon Point Omniplex - Hollyhill (Apple)","3"
"10-742-e20-1","01","742","Mahon Point Omniplex - Hollyhill (Apple)","3"
"10-745-e19-1","01X","745","Dublin Airport - Wexford Station","3"
"10-745-e20-1","01X","745","Dublin Airport - Wexford Station","3"
"10-746-e19-1","01X","746","New Ross (The Quay) - Dublin Airport","3"
"10-746-e20-1","01X","746","New Ross (The Quay) - Dublin Airport","3"
"10-747-e19-1","01","747","Primary Care Centre - Haulbowline (NMCI)","3"
"10-747-e20-1","01","747","Primary Care Centre - Haulbowline (NMCI)","3"
"10-750-e19-1","01","750","Galway Bus Station - Mountbellew (Mulrooneys Pharmacy)","3"
"10-750-e20-1","01","750","Galway Bus Station - Mountbellew (Mulrooneys Pharmacy)","3"
"10-752-e19-1","01","752","Waterford Bus Station - Tramore (Bus Terminus)","3"
"10-752-e20-1","01","752","Waterford Bus Station - Tramore (Bus Terminus)","3"
"10-756-e19-1","01","756","Killarney Bus Station - Waterville","3"
"10-756-e20-1","01","756","Killarney Bus Station - Waterville","3"
"10-757-e19-1","01","757","Dublin (Belfield) - Duleek","3"
"10-757-e20-1","01","757","Dublin (Belfield) - Duleek","3"
"10-758-e19-1","01","758","Dublin (Belfield) - Fairyhouse Cross (Southbound)","3"
"10-758-e20-1","01","758","Dublin (Belfield) - Fairyhouse Cross (Southbound)","3"
"10-760-e19-1","01","760","Ovens (EMC Terminus) - Crosshaven (Village Ctr Northbound)","3"
"10-760-e20-1","01","760","Ovens (EMC Terminus) - Crosshaven (Village Ctr Northbound)","3"
"10-761-e19-1","01","761","Limerick Bus Station - Ennis Bus Station","3"
"10-761-e20-1","01","761","Limerick Bus Station - Ennis Bus Station","3"
"10-763-e19-1","01","763","Wilton Terrace - Termonabbey (Aston Village)","3"
